[09-Jan-2023 15:03:21 UTC] PHP Warning:  mysqli_real_connect(): (HY000/2002): No such file or directory in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/class-wpdb.php on line 1775
[09-Jan-2023 15:04:59 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[09-Jan-2023 15:04:59 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[09-Jan-2023 15:04:59 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[09-Jan-2023 15:05:13 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:05:13 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:05:13 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:05:13 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:05:13 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:05:23 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:05:23 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:05:23 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:05:23 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:05:23 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:05:24 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:05:34 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:05:35 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  preg_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/formatting.php on line 5397
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  trim(): Passing null to parameter #1 ($string) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/pluggable.php on line 598
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 111
[09-Jan-2023 15:05:42 UTC] PHP Deprecated:  http_build_query(): Passing null to parameter #2 ($numeric_prefix) of type string is deprecated in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Transport/cURL.php on line 345
[09-Jan-2023 15:05:43 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 40
[09-Jan-2023 15:05:43 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 51
[09-Jan-2023 15:05:43 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 68
[09-Jan-2023 15:05:43 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 82
[09-Jan-2023 15:05:43 UTC] PHP Deprecated:  Return type of Requests_Utility_CaseInsensitiveDictionary::getIterator() should either be compatible with IteratorAggregate::getIterator(): Traversable, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Utility/CaseInsensitiveDictionary.php on line 91
[09-Jan-2023 15:05:46 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetExists($key) should either be compatible with ArrayAccess::offsetExists(mixed $offset): bool, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 63
[09-Jan-2023 15:05:46 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetGet($key) should either be compatible with ArrayAccess::offsetGet(mixed $offset): mixed, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 73
[09-Jan-2023 15:05:46 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetSet($key, $value) should either be compatible with ArrayAccess::offsetSet(mixed $offset, mixed $value): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 89
[09-Jan-2023 15:05:46 UTC] PHP Deprecated:  Return type of Requests_Cookie_Jar::offsetUnset($key) should either be compatible with ArrayAccess::offsetUnset(mixed $offset): void, or the #[\ReturnTypeWillChange] attribute should be used to temporarily suppress the notice in /Users/macmini03linaia/Documents/Linaia/Wordpress/bedrock/web/wp/wp-includes/Requests/Cookie/Jar.php on line 102
